DATE_REPORTED,WEAPONS,SNA_NEIGHBORHOOD
11/07/2019 11:15:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",COLLEGE HILL
11/07/2019 11:20:00 AM,99 - NONE,N/A
11/07/2019 11:20:00 AM,99 - NONE,N/A
11/07/2019 11:20:00 AM,99 - NONE,N/A
11/07/2019 11:20:00 AM,99 - NONE,N/A
11/07/2019 11:26:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/07/2019 11:30:56 AM,99 - NONE,WEST PRICE HILL
11/07/2019 11:45:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/07/2019 12:30:00 PM,99 - NONE,WESTWOOD
11/07/2019 12:39:55 PM,99 - NONE,CUF
11/07/2019 01:20:19 PM,99 - NONE,WEST PRICE HILL
11/07/2019 01:20:19 PM,99 - NONE,WEST PRICE HILL
11/07/2019 01:45:00 PM,99 - NONE,ROSELAWN
11/07/2019 02:00:00 PM,99 - NONE,EVANSTON
11/07/2019 02:00:00 PM,99 - NONE,N/A
11/07/2019 02:29:09 PM,99 - NONE,EAST PRICE HILL
11/07/2019 02:36:38 PM,U - UNKNOWN,ENGLISH WOODS
11/07/2019 02:39:00 PM,99 - NONE,ROSELAWN
11/07/2019 03:03:00 PM,99 - NONE,EAST PRICE HILL
11/07/2019 03:38:00 PM,99 - NONE,WESTWOOD
11/07/2019 04:47:00 PM,99 - NONE,MT. AIRY
11/07/2019 05:48:08 PM,99 - NONE,QUEENSGATE
11/07/2019 05:48:08 PM,99 - NONE,QUEENSGATE
11/07/2019 06:19:07 PM,99 - NONE,DOWNTOWN
11/07/2019 06:45:19 PM,11 - FIREARM (TYPE NOT STATED),WEST PRICE HILL
11/07/2019 07:13:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/07/2019 07:25:00 PM,99 - NONE,WESTWOOD
11/07/2019 07:42:08 PM,99 - NONE,MADISONVILLE
11/07/2019 07:43:00 PM,12 - HANDGUN,DOWNTOWN
11/07/2019 07:48:00 PM,U - UNKNOWN,WESTWOOD
11/07/2019 07:50:00 PM,99 - NONE,RIVERSIDE
11/07/2019 08:01:00 PM,99 - NONE,SAYLER PARK
11/07/2019 08:01:00 PM,99 - NONE,SAYLER PARK
11/07/2019 08:01:00 PM,U - UNKNOWN,EAST PRICE HILL
11/07/2019 08:20:00 PM,99 - NONE,OVER-THE-RHINE
11/07/2019 08:20:00 PM,99 - NONE,OVER-THE-RHINE
11/07/2019 08:40:00 PM,99 - NONE,CUF
11/07/2019 08:44:56 PM,99 - NONE,EAST PRICE HILL
11/07/2019 08:54:28 PM,99 - NONE,EAST PRICE HILL
11/07/2019 09:21:19 PM,99 - NONE,EAST PRICE HILL
11/07/2019 09:21:19 PM,99 - NONE,EAST PRICE HILL
11/07/2019 09:54:00 PM,12 - HANDGUN,EAST WESTWOOD
11/07/2019 10:24:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",OVER-THE-RHINE
11/07/2019 10:24:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",OVER-THE-RHINE
11/07/2019 10:24:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",OVER-THE-RHINE
11/07/2019 10:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/07/2019 10:46:11 PM,99 - NONE,EVANSTON
11/07/2019 10:54:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST WESTWOOD
11/07/2019 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",SEDAMSVILLE
11/07/2019 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",SEDAMSVILLE
11/07/2019 11:03:45 PM,99 - NONE,N/A
11/07/2019 11:31:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WESTWOOD
11/08/2019 12:00:25 AM,U - UNKNOWN,AVONDALE
11/08/2019 12:48:00 AM,99 - NONE,WESTWOOD
11/08/2019 01:12:00 AM,99 - NONE,WESTWOOD
11/08/2019 01:25:00 AM,99 - NONE,CUF
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,11 - FIREARM (TYPE NOT STATED),EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 02:33:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 03:55:53 AM,12 - HANDGUN,WALNUT HILLS
11/08/2019 05:00:00 AM,99 - NONE,MT. AIRY
11/08/2019 06:30:00 AM,80 - OTHER WEAPON,MILLVALE
11/08/2019 06:30:00 AM,80 - OTHER WEAPON,MILLVALE
11/08/2019 06:30:00 AM,80 - OTHER WEAPON,MILLVALE
11/08/2019 06:30:00 AM,80 - OTHER WEAPON,MILLVALE
11/08/2019 06:30:00 AM,80 - OTHER WEAPON,MILLVALE
11/08/2019 06:30:00 AM,80 - OTHER WEAPON,MILLVALE
11/08/2019 07:25:00 AM,99 - NONE,WESTWOOD
11/08/2019 07:58:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",NORTH AVONDALE - PADDOCK HILLS
11/08/2019 08:20:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
11/08/2019 08:29:59 AM,99 - NONE,WEST PRICE HILL
11/08/2019 09:25:00 AM,12 - HANDGUN,BOND HILL
11/08/2019 10:00:00 AM,12 - HANDGUN,MADISONVILLE
11/08/2019 10:08:00 AM,99 - NONE,WESTWOOD
11/08/2019 10:08:00 AM,99 - NONE,WESTWOOD
11/08/2019 10:30:00 AM,99 - NONE,LOWER PRICE HILL
11/08/2019 10:30:00 AM,99 - NONE,LOWER PRICE HILL
11/08/2019 10:45:00 AM,99 - NONE,MT. WASHINGTON
11/08/2019 11:00:00 AM,99 - NONE,WEST PRICE HILL
11/08/2019 11:03:00 AM,99 - NONE,MT. WASHINGTON
11/08/2019 11:04:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WESTWOOD
11/08/2019 11:04:00 AM,80 - OTHER WEAPON,WESTWOOD
11/08/2019 11:34:00 AM,99 - NONE,N/A
11/08/2019 11:39:00 AM,99 - NONE,EAST PRICE HILL
11/08/2019 11:57:00 AM,99 - NONE,VILLAGES AT ROLL HILL
11/08/2019 12:00:00 PM,99 - NONE,BOND HILL
11/08/2019 12:02:38 PM,99 - NONE,WALNUT HILLS
11/08/2019 12:15:00 PM,99 - NONE,OVER-THE-RHINE
11/08/2019 12:15:00 PM,99 - NONE,OVER-THE-RHINE
11/08/2019 12:23:00 PM,99 - NONE,WALNUT HILLS
11/08/2019 01:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MADISONVILLE
11/08/2019 01:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MADISONVILLE
11/08/2019 01:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MADISONVILLE
11/08/2019 01:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MADISONVILLE
11/08/2019 01:00:00 PM,99 - NONE,MADISONVILLE
11/08/2019 01:00:00 PM,99 - NONE,MADISONVILLE
11/08/2019 01:12:00 PM,99 - NONE,EAST WALNUT HILLS
11/08/2019 02:21:00 PM,99 - NONE,WESTWOOD
11/08/2019 03:15:00 PM,99 - NONE,EAST PRICE HILL
11/08/2019 03:26:00 PM,80 - OTHER WEAPON,CLIFTON
11/08/2019 03:26:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",CLIFTON
11/08/2019 03:30:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",CUF
11/08/2019 03:45:00 PM,99 - NONE,WEST PRICE HILL
11/08/2019 03:46:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EVANSTON
11/08/2019 04:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ROSELAWN
11/08/2019 04:21:00 PM,99 - NONE,CLIFTON
11/08/2019 04:30:00 PM,U - UNKNOWN,OVER-THE-RHINE
11/08/2019 04:30:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ROSELAWN
11/08/2019 04:34:00 PM,99 - NONE,OVER-THE-RHINE
11/08/2019 05:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/08/2019 05:08:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
11/08/2019 05:11:00 PM,99 - NONE,RIVERSIDE
11/08/2019 05:15:00 PM,99 - NONE,WINTON HILLS
11/08/2019 05:41:00 PM,99 - NONE,DOWNTOWN
11/08/2019 05:50:00 PM,99 - NONE,ROSELAWN
11/08/2019 06:15:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",NORTH AVONDALE - PADDOCK HILLS
11/08/2019 06:45:54 PM,99 - NONE,MT. AUBURN
11/08/2019 07:19:30 PM,99 - NONE,PLEASANT RIDGE
11/08/2019 07:50:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/08/2019 07:50:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/08/2019 08:08:29 PM,99 - NONE,OVER-THE-RHINE
11/08/2019 09:41:00 PM,99 - NONE,MT. AIRY
11/08/2019 10:11:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 10:11:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 10:11:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 10:11:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 10:15:00 PM,99 - NONE,AVONDALE
11/08/2019 10:21:00 PM,99 - NONE,WEST PRICE HILL
11/08/2019 10:45:00 PM,12A - AUTOMATIC HANDGUN,EAST WALNUT HILLS
11/08/2019 11:05:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
11/08/2019 11:05:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
11/08/2019 11:22:04 PM,80 - OTHER WEAPON,EVANSTON
11/08/2019 11:26:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/08/2019 11:29:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/08/2019 11:50:00 PM,99 - NONE,N/A
11/08/2019 11:50:00 PM,99 - NONE,N/A
11/09/2019 01:10:00 AM,12 - HANDGUN,WESTWOOD
11/09/2019 02:02:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",HYDE PARK
11/09/2019 02:26:00 AM,99 - NONE,QUEENSGATE
11/09/2019 02:48:00 AM,99 - NONE,N/A
11/09/2019 02:48:00 AM,99 - NONE,N/A
11/09/2019 03:07:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WALNUT HILLS
